id,scientific_name,common_name,old_level,new_level,old_notes,new_notes,parts,changes
AAA0617,Heracleum mantegazzianum,Giant Hogweed,faint,light,Light musky scent.,The flowers have a light musky scent.,flower,level:faint->light; notes:sentence
AAA0619,Hesperis matronalis,Dame's Rocket,strong,strong,"Sweet, spicy evening fragrance.","The flowers have a sweet, spicy evening fragrance.",flower,notes:sentence
AAA0630,Holboellia latifolia,Stauntonia Latifolia,moderate,moderate,Sweet jasmine-vanilla fragrance.,The flowers have a sweet jasmine-vanilla fragrance.,flower,notes:sentence
AAA0632,Hosta fortunei,Hosta Sieboldiana,faint,light,,"Flowers may be lightly fragrant, especially in warm evening air.",flower,level:faint->light; notes:filled
AAA0634,Hosta montana,Hosta Sieboldiana,faint,light,mild sweet,The flowers have a mild sweet scent.,flower,level:faint->light; notes:sentence
AAA0635,Hosta nigrescens,Hosta,faint,light,,"Flowers may be lightly fragrant, especially in warm evening air.",flower,level:faint->light; notes:filled
AAA0638,Hosta sieboldii,Small-Leaved Plantain Lily,faint,light,,"Flowers may be lightly fragrant, especially in warm evening air.",flower,level:faint->light; notes:filled
AAA0640,Hosta ventricosa,Blue Plantain-Lily,faint,light,,"Flowers may be lightly fragrant, especially in warm evening air.",flower,level:faint->light; notes:filled
AAA0645,Hoya linearis,Hoya linearis,moderate,moderate,Lemon-vanilla scent from flowers.,The flowers have a lemon-vanilla scent when open.,flower,notes:sentence
AAA0650,Hydrangea anomala,Chinese Hydrangea,faint,light,Mild honey-like scent.,The flowers have a mild honey-like scent.,flower,level:faint->light; notes:sentence
AAA0651,Hydrangea arborescens,Wild Hydrangea,faint,light,Light honey scent.,The flowers have a light honey scent.,flower,level:faint->light; notes:sentence
AAA0652,Hydrangea aspera,Rough-Leaved Hydrangea,faint,light,Mild sweet fragrance.,The flowers have a mild sweet fragrance.,flower,level:faint->light; notes:sentence
AAA0653,Hydrangea heteromalla,Hydrangea heteromalla,faint,light,Flowers lightly honey-scented.,The flowers have a lightly honey-scented scent.,flower,level:faint->light; notes:sentence
AAA0655,Hydrangea macrophylla,Mophead Hydrangea,faint,light,Light honey-like scent at close range; most cultivars are weakly fragrant.,Light honey-like scent at close range; most cultivars are weakly fragrant.,flower,level:faint->light
AAA0656,Hydrangea paniculata,Panicle Hydrangea,faint,light,Light honey scent.,The flowers have a light honey scent.,flower,level:faint->light; notes:sentence
AAA0657,Hydrangea petiolaris,Climbing Hydrangea,faint,light,Mild honey scent.,The flowers have a mild honey scent.,flower,level:faint->light; notes:sentence
AAA0658,Hydrangea quercifolia,Oakleaf Hydrangea,faint,light,Light honey scent.,The flowers have a light honey scent.,flower,level:faint->light; notes:sentence
AAA0659,Hydrangea serrata,Mountain Hydrangea,faint,light,Mild sweet scent.,The flowers have a mild sweet scent.,flower,level:faint->light; notes:sentence
AAA0660,Hypericum calycinum,Rose-Of-Sharon,faint,light,Mild resinous scent when leaves crushed.,Mild resinous scent when leaves crushed.,leaf,level:faint->light
AAA0661,Hypericum perforatum,Common St. John's Wort,faint,light,Mild herbal scent.,The flowers have a mild herbal scent.,flower,level:faint->light; notes:sentence
AAA0663,Hyssopus officinalis,Hyssop,strong,strong,Pungent mint-camphor-sage aroma.,The foliage has a pungent mint-camphor-sage aroma.,leaf,notes:sentence
AAA0664,Ilex aquifolium,European Holly,faint,light,Male flowers mildly honey-scented.,The male flowers have a mild honey-like scent.,flower,level:faint->light; notes:sentence
AAA0665,Ilex cornuta,Chinese Holly,faint,light,Mild sweet scent from flowers.,Mild sweet scent from flowers.,flower,level:faint->light
AAA0668,Ilex opaca,American Holly,faint,light,Mild honey-like scent from male flowers.,Mild honey-like scent from male flowers.,flower,level:faint->light
AAA0669,Ilex vomitoria,Yaupon Holly,faint,light,Mild honey-like scent from male flowers.,Mild honey-like scent from male flowers.,flower,level:faint->light
AAA0670,Ilex x meserveae,Ilex x meserveae,faint,light,Mild sweet scent from male flowers.,Mild sweet scent from male flowers.,flower,level:faint->light
AAA0681,Ipomoea purpurea,Common Morning-Glory,faint,light,Flowers have a very faint sweet scent.,Flowers have a very faint sweet scent.,flower,level:faint->light
AAA0682,Ipomoea tricolor,Garden Morning Glory,faint,light,Very faint sweet scent in morning.,Very faint sweet scent in morning.,flower,level:faint->light
AAA0685,Iris douglasiana,Douglas Iris,faint,light,Light delicate scent.,The flowers have a light delicate scent.,flower,level:faint->light; notes:sentence
AAA0686,Iris ensata,Japanese Iris,faint,light,Light violet-like scent.,The flowers have a light violet-like scent.,flower,level:faint->light; notes:sentence
AAA0688,Iris hollandica,Iris × Hollandica,faint,light,mild,The flowers have a mild scent.,flower,level:faint->light; notes:sentence
AAA0689,Iris munzii,Munz's Iris,faint,light,Light delicate scent.,The flowers have a light delicate scent.,flower,level:faint->light; notes:sentence
AAA0690,Iris pallida,Sweet Iris,strong,strong,"sweet, violet-like (root after curing)","The flowers have a sweet, violet-like (root after curing) scent.","flower,root",notes:sentence
AAA0691,Iris pseudacorus,Yellow Iris,faint,light,Light delicate scent.,The flowers have a light delicate scent.,flower,level:faint->light; notes:sentence
AAA0692,Iris reticulata,Netted Iris,faint,light,mild violet-like,The flowers have a mild violet-like scent.,flower,level:faint->light; notes:sentence
AAA0693,Iris sibirica,Siberian Iris,faint,light,mild,The flowers have a mild scent.,flower,level:faint->light; notes:sentence
AAA0694,Iris versicolor,Northern Blue Flag,faint,light,Light delicate scent.,The flowers have a light delicate scent.,flower,level:faint->light; notes:sentence
AAA0695,Itea japonica,Itea japonica,faint,light,Flowers lightly sweet-scented.,The flowers have a lightly sweet-scented scent.,flower,level:faint->light; notes:sentence
AAA0697,Ixora coccinea,Jungle Flame,faint,light,Light sweet scent.,The flowers have a light sweet scent.,flower,level:faint->light; notes:sentence
AAA0705,Juniperus horizontalis,Creeping Juniper,moderate,moderate,Resinous juniper scent.,The foliage has a resinous juniper scent.,leaf,notes:sentence
AAA0706,Juniperus scopulorum,Rocky Mountain Juniper,strong,strong,Resinous juniper-cedar aroma.,The foliage has a resinous juniper-cedar aroma.,"leaf,wood",notes:sentence
AAA0707,Juniperus squamata,Flaky Juniper,moderate,moderate,Resinous juniper scent.,The foliage has a resinous juniper scent.,leaf,notes:sentence
AAA0709,Kadsura japonica,Kadsura Vine,moderate,moderate,Sweet delicate fragrance.,The flowers have a sweet delicate fragrance.,flower,notes:sentence
AAA0717,Koelreuteria paniculata,Golden Rain Tree,faint,light,mild,The flowers have a mild scent.,flower,level:faint->light; notes:sentence
AAA0718,Kolkwitzia amabilis,Beauty Bush,faint,light,Flowers lightly sweet-scented.,The flowers have a lightly sweet-scented scent.,flower,level:faint->light; notes:sentence
AAA0719,Laburnum anagyroides,Common Laburnum,faint,light,mild sweet,The flowers have a mild sweet scent.,flower,level:faint->light; notes:sentence
AAA0720,Laburnum x watereri,Golden Chain Tree,faint,light,mild sweet,The flowers have a mild sweet scent.,flower,level:faint->light; notes:sentence
AAA0724,Lagerstroemia fauriei,Lagerstroemia Subcostata,faint,light,mild,The flowers have a mild scent.,flower,level:faint->light; notes:sentence
AAA0728,Lamium purpureum,Red Deadnettle,faint,light,Foliage faintly resinous when crushed.,Foliage faintly resinous when crushed.,leaf,level:faint->light
AAA0730,Lamprocapnos spectabilis,Asian Bleeding-Heart,faint,light,Flowers lightly sweet-scented.,The flowers have a lightly sweet-scented scent.,flower,level:faint->light; notes:sentence
AAA0732,Lantana montevidensis,Creeping Lantana,faint,strong,Strong pungent scent from crushed leaves — somewhat divisive; flowers are mildly honey-scented.,Strong pungent scent from crushed leaves — somewhat divisive; flowers are mildly honey-scented.,leaf,level:faint->light; level:light->strong
AAA0738,Layia platyglossa,Tidy Tips,faint,light,,"Flowers have little scent, at most lightly sweet up close.",flower,level:faint->light; notes:filled
AAA0741,Leucanthemum paludosum,Mini-Marguerite,faint,light,,"Foliage has a light green, herbaceous scent when crushed.",leaf,level:faint->light; notes:filled
AAA0743,Leucanthemum x superbum,Shasta Daisy,faint,light,mild herbaceous,The flowers have a mild herbaceous scent.,flower,level:faint->light; notes:sentence
AAA0744,Leucojum aestivum,Summer Snowflake,faint,light,"Flowers lightly sweet, faintly chocolate-scented.","The flowers have a lightly sweet, faintly chocolate-scented scent.",flower,level:faint->light; notes:sentence
AAA0745,Leucojum vernum,Spring Snowflake,faint,light,"Flowers lightly sweet, faintly violet-scented.","The flowers have a lightly sweet, faintly violet-scented scent.",flower,level:faint->light; notes:sentence
AAA0746,Leucophyllum laevigatum,Leucophyllum laevigatum,moderate,light,Sweet light lavender fragrance.,The flowers have a sweet light lavender fragrance.,flower,level:moderate->light; notes:sentence
AAA0747,Leucophyllum langmaniae,Leucophyllum langmaniae,faint,light,,Foliage has a light aromatic scent when brushed.,leaf,level:faint->light; notes:filled
AAA0749,Leucothoe populifolia,Agarista Populifolia,faint,light,,"Flowers have a light, barely noticeable scent.",flower,level:faint->light; notes:filled
AAA0750,Levisticum officinale,Lovage,strong,strong,Intense celery-yeast-curry aroma.,The foliage has an intense celery-yeast-curry aroma.,"leaf,root",notes:sentence
AAA0761,Lilium henryi,Henry's Lily,faint,light,mild,The flowers have a mild scent.,flower,level:faint->light; notes:sentence
AAA0762,Lilium lancifolium,Tiger Lily,faint,light,mild,The flowers have a mild scent.,flower,level:faint->light; notes:sentence
AAA0764,Lilium martagon,Martagon Lily,moderate,moderate,"musky, unpleasant to some","The flowers have a musky, unpleasant to some scent.",flower,notes:sentence
AAA0766,Lilium regale,Regal Lily,strong,strong,"sweet, spicy, vanilla-like","The flowers have a sweet, spicy, vanilla-like scent.",flower,notes:sentence
AAA0767,Lilium speciosum,Showy Japanese Lily,strong,strong,"sweet, heavy, spicy","The flowers have a sweet, heavy, spicy scent.",flower,notes:sentence
AAA0768,Linaria maroccana,Annual Toadflax,faint,light,,"Flowers have a light, soft scent.",flower,level:faint->light; notes:filled
AAA0771,Liriodendron tulipifera,American Tuliptree,faint,light,"Flowers have a light, sweet scent.","Flowers have a light, sweet scent.",flower,level:faint->light
AAA0774,Lithops lesliei,Lithops lesliei,faint,light,Flowers have a faint sweet scent.,Flowers have a faint sweet scent.,flower,level:faint->light
AAA0779,Lobularia maritima,Sweet Alyssum,strong,strong,Intense sweet honey fragrance.,The flowers have an intense sweet honey fragrance.,flower,notes:sentence
AAA0783,Lonicera sempervirens,Coral Honeysuckle,faint,light,Faint or no scent—unlike the heavily fragrant L. japonica. Pollinated by hummingbirds (sight-based) rather than scent.,Faint or no scent—unlike the heavily fragrant L. japonica. Pollinated by hummingbirds (sight-based) rather than scent.,flower,level:faint->light
AAA0784,Lonicera x heckrottii,Honeysuckle,moderate,moderate,Sweet vanilla-honey fragrance.,The flowers have a sweet vanilla-honey fragrance.,flower,notes:sentence
AAA0785,Loropetalum chinense,Chinese Fringe Flower,faint,light,Mild sweet scent.,The flowers have a mild sweet scent.,flower,level:faint->light; notes:sentence
AAA0787,Lupinus albifrons,Silver Bush Lupine,moderate,moderate,Sweet fragrance.,The flowers have a sweet fragrance.,flower,notes:sentence
AAA0789,Lupinus polyphyllus,Large-Leaved Lupine,faint,light,Subtle peppery scent.,The flowers have a subtle peppery scent.,flower,level:faint->light; notes:sentence
AAA0792,Lycoris squamigera,Surprise Lily,faint,light,Flowers very lightly sweet-scented.,The flowers have a very lightly sweet-scented scent.,flower,level:faint->light; notes:sentence
AAA0793,Lyonia lucida,Fetterbush Lyonia,faint,light,,"Flowers have a light, delicate scent.",flower,level:faint->light; notes:filled
AAA0795,Maclura pomifera,Osage Orange,faint,light,Fruit has mild citrus-like scent when cut.,Fruit has mild citrus-like scent when cut.,fruit,level:faint->light
AAA0796,Magnolia acuminata,Cucumber-Tree,faint,light,mild,The flowers have a mild scent.,flower,level:faint->light; notes:sentence
AAA0797,Magnolia ashei,Ashe's Magnolia,strong,strong,Heavy sweet lemon-citrus scent.,The flowers have a heavy sweet lemon-citrus scent.,flower,notes:sentence
AAA0798,Magnolia campbellii,Pink Tulip Tree,moderate,moderate,Sweet faintly citrus-fruity scent.,The flowers have a sweet faintly citrus-fruity scent.,flower,notes:sentence
AAA0799,Magnolia denudata,Yulan Magnolia,strong,strong,"sweet, lemony","The flowers have a sweet, lemony scent.",flower,notes:sentence
AAA0801,Magnolia kobus,Kobus Magnolia,moderate,light,"sweet, light","The flowers have a sweet, light scent.",flower,level:moderate->light; notes:sentence
AAA0802,Magnolia liliiflora,Lily Magnolia,moderate,light,"fruity, light","The flowers have a fruity, light scent.",flower,level:moderate->light; notes:sentence
AAA0803,Magnolia pyramidata,Pyramid Magnolia,moderate,moderate,Sweet lemony magnolia scent.,The flowers have a sweet lemony magnolia scent.,flower,notes:sentence
AAA0804,Magnolia sieboldii,Oyama Magnolia,strong,strong,"sweet, lemon-fresh","The flowers have a sweet, lemon-fresh scent.",flower,notes:sentence
AAA0805,Magnolia stellata,Star Magnolia,moderate,light,Sweet light floral scent.,The flowers have a sweet light floral scent.,flower,level:moderate->light; notes:sentence
AAA0806,Magnolia tripetala,Umbrella Magnolia,moderate,moderate,"musky, unpleasant to some","The flowers have a musky, unpleasant to some scent.",flower,notes:sentence
AAA0807,Magnolia x soulangeana,Chinese Magnolia,moderate,light,Sweet light floral scent.,The flowers have a sweet light floral scent.,flower,level:moderate->light; notes:sentence
AAA0809,Mahonia repens,Creeping Mahonia,faint,light,,Flowers have a light sweet scent.,flower,level:faint->light; notes:filled
AAA0810,Mahonia x media,Berberis × Hortensis,strong,strong,Sweet lily-of-the-valley fragrance.,The flowers have a sweet lily-of-the-valley fragrance.,flower,notes:sentence
AAA0812,Malus floribunda,Japanese Crab,faint,light,Light sweet scent.,The flowers have a light sweet scent.,flower,level:faint->light; notes:sentence
AAA0813,Malva neglecta,Dwarf Mallow,faint,light,Flowers very lightly sweet-scented.,The flowers have a very lightly sweet-scented scent.,flower,level:faint->light; notes:sentence
AAA0826,Medicago lupulina,Black Medick,faint,light,Flowers lightly honey-scented.,The flowers have a lightly honey-scented scent.,flower,level:faint->light; notes:sentence
AAA0829,Melampodium leucanthum,Blackfoot Daisy,moderate,light,Light honey-like scent attracts pollinators.,Light honey-like scent attracts pollinators.,flower,level:moderate->light
AAA0831,Mentha pulegium,Pennyroyal,strong,strong,Strong peppermint-menthol aroma.,The foliage has a strong peppermint-menthol aroma.,leaf,notes:sentence
AAA0837,Metasequoia glyptostroboides,Dawn Redwood,faint,light,Light resinous scent when foliage is crushed.,Light resinous scent when foliage is crushed.,leaf,level:faint->light
AAA0848,Monarda bradburiana,Eastern Beebalm,moderate,moderate,"minty, thyme-like","The foliage has a minty, thyme-like scent.",leaf,notes:sentence
AAA0851,Monarda didyma,Scarlet Beebalm,strong,strong,Oregano-bergamot aroma.,The foliage has an oregano-bergamot aroma.,leaf,notes:sentence
AAA0854,Monarda punctata,Spotted Horsemint,strong,strong,"thyme-like, oregano-like","The foliage has a thyme-like, oregano-like scent.",leaf,notes:sentence
AAA0856,Monstera deliciosa,Swiss Cheese Plant,faint,light,Ripe fruit carries a tropical pineapple-banana scent; foliage is not fragrant.,Ripe fruit carries a tropical pineapple-banana scent; foliage is not fragrant.,fruit,level:faint->light
AAA0859,Morus nigra,Black Mulberry,faint,light,,Ripe fruit has a light sweet aroma.,fruit,level:faint->light; notes:filled
AAA0864,Muscari armeniacum,Garden Grape-Hyacinth,faint,light,"Flowers lightly sweet, reminiscent of grape jelly.","The flowers have a lightly sweet, reminiscent of grape jelly scent.",flower,level:faint->light; notes:sentence
AAA0865,Muscari botryoides,Common Grape Hyacinth,faint,light,Flowers lightly sweet-scented.,The flowers have a lightly sweet-scented scent.,flower,level:faint->light; notes:sentence
AAA0866,Muscari latifolium,Broad-Leaved Grape-Hyacinth,faint,light,Flowers lightly sweet-scented.,The flowers have a lightly sweet-scented scent.,flower,level:faint->light; notes:sentence
AAA0870,Myrrhis odorata,Sweet Cicely,strong,strong,Sweet anise-myrrh aroma.,The foliage has a sweet anise-myrrh aroma.,"leaf,seed,root",notes:sentence
AAA0872,Nandina domestica,Heavenly Bamboo,faint,light,Flowers lightly sweet-scented.,The flowers have a lightly sweet-scented scent.,flower,level:faint->light; notes:sentence
AAA0873,Narcissus cyclamineus,Cyclamen-Flowered Daffodil,faint,light,mild,The flowers have a mild scent.,flower,level:faint->light; notes:sentence
AAA0876,Narcissus pseudonarcissus,Wild Daffodil,faint,light,Light sweet scent in most wild forms; some cultivars significantly more fragrant.,Light sweet scent in most wild forms; some cultivars significantly more fragrant.,flower,level:faint->light
AAA0877,Narcissus tazetta,Bunch-Flowered Daffodil,strong,strong,"sweet, musky, intense","The flowers have a sweet, musky, intense scent.",flower,notes:sentence
AAA0878,Narcissus triandrus,Angel's-Tears,faint,light,mild sweet,The flowers have a mild sweet scent.,flower,level:faint->light; notes:sentence
AAA0883,Nemesia strumosa,Cape-Jewels,faint,light,Light sweet fragrance in some cultivars.,Light sweet fragrance in some cultivars.,flower,level:faint->light
AAA0887,Nepeta racemosa,Eastern Cat-Mint,moderate,moderate,"minty, catnip-like","The foliage has a minty, catnip-like scent.",leaf,notes:sentence
AAA0889,Nepeta x faassenii,Catmint,moderate,moderate,"minty, catnip-like","The foliage has a minty, catnip-like scent.",leaf,notes:sentence
AAA0894,Nicotiana mutabilis,Nicotiana mutabilis,faint,light,Very light evening scent.,The flowers have a very light evening scent.,flower,level:faint->light; notes:sentence
AAA0898,Nigella sativa,Nigella,faint,light,Seeds have a distinctive peppery oregano-like aroma.,Seeds have a distinctive peppery oregano-like aroma.,seed,level:faint->light
AAA0899,Nymphaea alba,European White Waterlily,moderate,light,"Light sweet scent, strongest in morning.","Light sweet scent, strongest in morning.",flower,level:moderate->light
AAA0902,Ocimum sanctum,Holy Basil,strong,strong,Clove-like eugenol aroma.,The flowers have a clove-like eugenol aroma.,"leaf,flower",notes:sentence
AAA0903,Ocimum tenuiflorum,Holy Basil,strong,strong,Clove-like eugenol aroma.,The flowers have a clove-like eugenol aroma.,"leaf,flower",notes:sentence
AAA0906,Oenothera lindheimeri,Clockweed,faint,light,Light delicate scent.,The flowers have a light delicate scent.,flower,level:faint->light; notes:sentence
AAA0907,Oenothera speciosa,Pink Evening Primrose,faint,light,Light sweet scent.,The flowers have a light sweet scent.,flower,level:faint->light; notes:sentence
AAA0910,Oplopanax horridus,Devil's Club,faint,light,Ginseng-like resinous scent when bruised.,Ginseng-like resinous scent when bruised.,leaf,level:faint->light
AAA0915,Orlaya grandiflora,Large-Flowered Orlaya,faint,light,mild herbaceous,The flowers have a mild herbaceous scent.,flower,level:faint->light; notes:sentence
AAA0928,Pachysandra terminalis,Japanese Pachysandra,faint,light,Faint sweet scent from flowers in early spring.,Faint sweet scent from flowers in early spring.,flower,level:faint->light
AAA0931,Paeonia mlokosewitschii,Paeonia Daurica Subsp. Mlokosewitschii,faint,light,,"Flowers are lightly scented, if noticeable.",flower,level:faint->light; notes:filled
AAA0933,Paeonia ostii,Paeonia ostii,strong,strong,Sweet peony fragrance.,The flowers have a sweet peony fragrance.,flower,notes:sentence
AAA0934,Paeonia rockii,Paeonia rockii,moderate,moderate,Sweet soft peony fragrance.,The flowers have a sweet soft peony fragrance.,flower,notes:sentence
AAA0936,Paeonia tenuifolia,Fern-Leaf Peony,faint,light,,"Flowers are lightly scented, if noticeable.",flower,level:faint->light; notes:filled
AAA0940,Papaver nudicaule,Iceland Poppy,faint,light,Faint delicate scent.,The flowers have a faint delicate scent.,flower,level:faint->light; notes:sentence
AAA0943,Papaver somniferum,Opium Poppy,faint,light,Very light sweet scent.,The flowers have a very light sweet scent.,flower,level:faint->light; notes:sentence
AAA0948,Passiflora caerulea,Bluecrown Passionflower,faint,light,Light sweet scent.,The flowers have a light sweet scent.,flower,level:faint->light; notes:sentence
AAA0950,Passiflora incarnata,Purple Passionflower,moderate,moderate,Sweet exotic tropical fragrance.,The flowers have a sweet exotic tropical fragrance.,flower,notes:sentence
AAA0951,Paulownia tomentosa,Princess Tree,strong,strong,Sweet vanilla-like scent.,The flowers have a sweet vanilla-like scent.,flower,notes:sentence
AAA0953,Pelargonium peltatum,Ivy Geranium,faint,light,Mild herbaceous scent from crushed leaves.,Mild herbaceous scent from crushed leaves.,leaf,level:faint->light
AAA0978,Petroselinum crispum,Garden Parsley,moderate,moderate,Fresh green herbal aroma.,The foliage has a fresh green herbal aroma.,leaf,notes:sentence
AAA0980,Phacelia tanacetifolia,Lacy Phacelia,faint,light,Sweet honey fragrance attracts bees.,Sweet honey fragrance attracts bees.,flower,level:faint->light
AAA0981,Phalaenopsis amabilis,Moth Orchid,faint,light,Species is nearly scentless; some hybrids have faint sweet fragrance.,Species is nearly scentless; some hybrids have faint sweet fragrance.,flower,level:faint->light
AAA0985,Philadelphus lewisii,Lewis' Mock Orange,strong,strong,Flowers strongly orange-blossom scented.,The flowers have a strongly orange-blossom scented scent.,flower,notes:sentence
AAA0987,Philadelphus x virginalis,Hairy Mock Orange,strong,strong,Flowers intensely orange-blossom scented.,The flowers have an intensely orange-blossom scented scent.,flower,notes:sentence
AAA0996,Phlox carolina,Thickleaf Phlox,moderate,moderate,sweet,The flowers have a sweet scent.,flower,notes:sentence
AAA0998,Phlox maculata,Wild Sweetwilliam,moderate,moderate,sweet,The flowers have a sweet scent.,flower,notes:sentence
AAA1000,Phlox pilosa,Prairie Phlox,moderate,light,Sweet light fragrance attracts butterflies.,Sweet light fragrance attracts butterflies.,flower,level:moderate->light
AAA1001,Phlox stolonifera,Creeping Phlox,faint,light,Mild sweet scent.,The flowers have a mild sweet scent.,flower,level:faint->light; notes:sentence
AAA1002,Phlox subulata,Moss Phlox,faint,light,Mild sweet scent.,The flowers have a mild sweet scent.,flower,level:faint->light; notes:sentence
AAA1003,Photinia x fraseri,Fraser's Photinia,faint,light,unpleasant musky,The flowers have an unpleasant musky scent.,flower,level:faint->light; notes:sentence
AAA1008,Physocarpus capitatus,Pacific Ninebark,faint,light,Flowers mildly honey-scented.,The flowers have a mildly honey-scented scent.,flower,level:faint->light; notes:sentence
AAA1009,Physocarpus opulifolius,Common Ninebark,faint,light,Flowers mildly honey-scented.,The flowers have a mildly honey-scented scent.,flower,level:faint->light; notes:sentence
AAA1010,Picea abies,Norway Spruce,moderate,moderate,Fresh resinous Christmas-tree scent.,The foliage has a fresh resinous Christmas-tree scent.,"leaf,wood",notes:sentence
AAA1013,Picea omorika,Serbian Spruce,moderate,moderate,Sweet resinous spruce scent.,The foliage has a sweet resinous spruce scent.,"leaf,wood",notes:sentence
AAA1014,Picea orientalis,Oriental Spruce,moderate,moderate,Resinous spruce scent.,The foliage has a resinous spruce scent.,"leaf,wood",notes:sentence
AAA1015,Pieris floribunda,Mountain Andromeda,faint,light,Mild sweet lily-of-the-valley-like scent to some noses.,Mild sweet lily-of-the-valley-like scent to some noses.,flower,level:faint->light
AAA1016,Pieris japonica,Japanese Andromeda,faint,light,Light sweet scent reminiscent of lily-of-the-valley.,Light sweet scent reminiscent of lily-of-the-valley.,flower,level:faint->light
AAA1018,Pilosocereus pachycladus,Pilosocereus pachycladus,faint,light,Night-blooming flowers with subtle musky scent.,Night-blooming flowers with subtle musky scent.,flower,level:faint->light
AAA1019,Pimpinella anisum,Anise,strong,strong,Sweet licorice-like anethole aroma.,The foliage has a sweet licorice-like anethole aroma.,"leaf,seed",notes:sentence
AAA1021,Pinus banksiana,Jack Pine,moderate,moderate,Sweet resinous pine scent.,The foliage has a sweet resinous pine scent.,"leaf,wood",notes:sentence
AAA1022,Pinus bungeana,Lacebark Pine,moderate,moderate,Resinous pine scent.,The foliage has a resinous pine scent.,"leaf,wood",notes:sentence
AAA1023,Pinus densiflora,Japanese Red Pine,moderate,moderate,Sweet resinous pine scent.,The foliage has a sweet resinous pine scent.,"leaf,wood",notes:sentence
AAA1024,Pinus flexilis,Limber Pine,moderate,moderate,Sweet resinous pine scent.,The foliage has a sweet resinous pine scent.,"leaf,wood",notes:sentence
AAA1026,Pinus nigra,Black Pine,moderate,moderate,Resinous pine scent.,The foliage has a resinous pine scent.,"leaf,wood",notes:sentence
AAA1027,Pinus parviflora,Japanese White Pine,moderate,moderate,Sweet resinous pine scent.,The foliage has a sweet resinous pine scent.,"leaf,wood",notes:sentence
AAA1030,Pinus sylvestris,Scots Pine,moderate,moderate,Classic resinous pine scent.,The foliage has a classic resinous pine scent.,"leaf,wood",notes:sentence
AAA1031,Pinus thunbergii,Japanese Black Pine,moderate,moderate,Strong resinous pine scent.,The foliage has a strong resinous pine scent.,"leaf,wood",notes:sentence
AAA1032,Pinus torreyana,Torrey Pine,faint,light,Mild pine resinous scent.,The foliage has a mild pine resinous scent.,leaf,level:faint->light; notes:sentence
AAA1034,Pisum sativum,Common Pea,faint,light,"Mild sweet pea fragrance (stronger in sweet pea Lathyrus odoratus, an unrelated species).","Mild sweet pea fragrance (stronger in sweet pea Lathyrus odoratus, an unrelated species).",flower,level:faint->light
AAA1044,Plectranthus argentatus,Silver Spurflower,faint,light,Mild herbaceous scent from crushed leaves.,Mild herbaceous scent from crushed leaves.,leaf,level:faint->light
AAA1049,Podophyllum peltatum,Mayapple,faint,light,Flower has light musky-sweet scent.,Flower has light musky-sweet scent.,flower,level:faint->light
AAA1051,Polygonatum biflorum,Solomon's Seal,faint,light,Light sweet scent.,The flowers have a light sweet scent.,flower,level:faint->light; notes:sentence
AAA1054,Poncirus trifoliata,Trifoliate Orange,moderate,moderate,Sweet citrus-orange fragrance.,The flowers and ripe fruit have a sweet citrus-orange fragrance.,"flower,fruit",notes:sentence
AAA1056,Populus alba,White Poplar,faint,light,Resinous balsam scent from spring leaf buds.,Resinous balsam scent from spring leaf buds.,leaf,level:faint->light
AAA1058,Populus tremuloides,Quaking Aspen,faint,light,Resinous balsam scent from leaf buds in spring.,Resinous balsam scent from leaf buds in spring.,leaf,level:faint->light
AAA1066,Primula vulgaris,Primrose,faint,light,Delicate sweet scent.,The flowers have a delicate sweet scent.,flower,level:faint->light; notes:sentence
AAA1067,Prunus avium,Wild Cherry,moderate,moderate,Sweet spring blossom scent.,The flowers have a sweet spring blossom scent.,flower,notes:sentence
AAA1068,Prunus campanulata,Taiwan Cherry,faint,light,mild,The flowers have a mild scent.,flower,level:faint->light; notes:sentence
AAA1069,Prunus cerasus,Sour Cherry,moderate,moderate,Sweet blossom scent.,The flowers have a sweet blossom scent.,flower,notes:sentence
AAA1071,Prunus glandulosa,Flowering Almond,faint,light,mild almond,The flowers have a mild almond scent.,flower,level:faint->light; notes:sentence
AAA1072,Prunus incisa,Fuji Cherry,faint,light,mild,The flowers have a mild scent.,flower,level:faint->light; notes:sentence
AAA1076,Prunus sargentii,North Japanese Hill Cherry,faint,light,mild,The flowers have a mild scent.,flower,level:faint->light; notes:sentence
AAA1077,Prunus serrulata,Japanese Cherry,faint,light,Flowers mildly sweet; some cultivars almond-scented.,Flowers mildly sweet; some cultivars almond-scented.,flower,level:faint->light
AAA1078,Prunus subhirtella,Higan Cherry,faint,light,mild,The flowers have a mild scent.,flower,level:faint->light; notes:sentence
AAA1079,Prunus tomentosa,Nanking Cherry,faint,light,mild,The flowers have a mild scent.,flower,level:faint->light; notes:sentence
AAA1080,Prunus triloba,Flowering Plum,faint,light,mild almond,The flowers have a mild almond scent.,flower,level:faint->light; notes:sentence
AAA1081,Prunus x yedoensis,Korean Flowering Cherry,faint,light,Light almond-like scent from blossoms.,Light almond-like scent from blossoms.,flower,level:faint->light
AAA1082,Pueraria montana,Kudzu,moderate,moderate,Sweet grape-like scent.,The flowers have a sweet grape-like scent.,flower,notes:sentence
AAA1085,Punica granatum,Pomegranate,faint,light,Mild sweet blossom scent.,The flowers have a mild sweet blossom scent.,flower,level:faint->light; notes:sentence
